ObjectID,KiloNBR,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side
1582147,LHP200418000229,HAAKEI ST&MANAKUKE ST,Honolulu_PD_HI_LHP200418000229_040,"Honolulu PD, HI",04/18/2020 03:29:00 PM +0000,ASSAULT,M,100,10104
1582148,LHP200418000249,500 BLOCK FARRINGTON HWY,Honolulu_PD_HI_LHP200418000249_064,"Honolulu PD, HI",04/18/2020 03:59:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10105
1582149,LHP200418000255,991400 BLOCK KOAHA PL,Honolulu_PD_HI_LHP200418000255_077,"Honolulu PD, HI",04/18/2020 04:04:00 PM +0000,MOTOR VEHICLE THEFT,M,100,10106
1582150,LHP200418000259,920500 BLOCK MAKAKILO DR,Honolulu_PD_HI_LHP200418000259_064,"Honolulu PD, HI",04/18/2020 04:08:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10107
1582151,LHP200418000264,700 BLOCK 7TH AVE,Honolulu_PD_HI_LHP200418000264_064,"Honolulu PD, HI",04/18/2020 04:15:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10108
1582152,LHP200418000270,470400 BLOCK ALAWIKI ST,Honolulu_PD_HI_LHP200418000270_141,"Honolulu PD, HI",04/18/2020 04:21:00 PM +0000,VANDALISM,M,100,10109
1582153,LHP200418000303,940900 BLOCK WAIPAHU ST,Honolulu_PD_HI_LHP200418000303_175,"Honolulu PD, HI",04/18/2020 04:44:00 PM +0000,SEX CRIMES,M,100,10110
1582154,LHP200418000319,2100 BLOCK PUANANI LN,Honolulu_PD_HI_LHP200418000319_050,"Honolulu PD, HI",04/18/2020 05:00:00 PM +0000,BURGLARY,M,100,10111
1582156,LHP200418000341,940200 BLOCK PUPUKOAE ST,Honolulu_PD_HI_LHP200418000341_064,"Honolulu PD, HI",04/18/2020 05:20:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10112
1582157,LHP200418000351,1500 BLOCK LAULANI ST,Honolulu_PD_HI_LHP200418000351_077,"Honolulu PD, HI",04/18/2020 05:24:00 PM +0000,MOTOR VEHICLE THEFT,M,100,10113
1582158,LHP200418000361,1200 BLOCK ULUPALAKUA ST,Honolulu_PD_HI_LHP200418000361_064,"Honolulu PD, HI",04/18/2020 05:40:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10114
1582159,LHP200418000363,1100 BLOCK LUNAHELU PL,Honolulu_PD_HI_LHP200418000363_064,"Honolulu PD, HI",04/18/2020 05:43:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10115
